name,category,city,address,website,email,phone,reviews_rating,num_reviews,description,schedule,auxiliar(borrar)
DISCO CITY HALL BARCELONA,Discoteca,Barcelona,"Rambla de Catalunya, 2, 4, Eixample, 08007 Barcelona",cityhallbarcelona.com,NO_EMAIL,667166789,4.0,2612,"Bebidas, baile y música house, techno y hiphop en una discoteca con sótano, decoración de lujo y una terraza apacible.","[{'day': 'viernes', 'hours': '0:00–6:00'}, {'day': 'sábado', 'hours': '0:00–6:00'}, {'day': 'domingo', 'hours': '0:00–5:00'}, {'day': 'lunes', 'hours': '0:00–5:00'}, {'day': 'martes', 'hours': '0:00–5:00'}, {'day': 'miércoles', 'hours': '0:00–5:00'}, {'day': 'jueves', 'hours': '0:00–5:00'}]",Amigable con la comunidad LGTBI+
Safari Disco Club Barcelona,Discoteca,Barcelona,"Carrer de Tarragona, 141, Sants-Montjuïc, 08014 Barcelona",safaridiscoclub.com,NO_EMAIL,934878342,3.8,2488,"Discoteca animada, que abre toda la noche, con dos pistas de bailes y fiestas temáticas.",NOT_FOUND,Cerrado ⋅ Apertura: 23:59
La Bodegueta de Sant Andreu,Restaurante especializado en tapas,Barcelona,"Rambla de Fabra i Puig, 30, Sant Andreu, 08030 Barcelona",labodeguetadesantandreu.cat,NO_EMAIL,656376842,4.5,2373,"Tapas de origen local, vino y vermú en un restaurante rústico y compacto.","[{'day': 'viernes', 'hours': '12:00–24:00'}, {'day': 'sábado', 'hours': '12:00–24:00'}, {'day': 'domingo', 'hours': '12:00–24:00'}, {'day': 'lunes', 'hours': '18:00–24:00'}, {'day': 'martes', 'hours': '18:00–24:00'}, {'day': 'miércoles', 'hours': '18:00–24:00'}, {'day': 'jueves', 'hours': '18:00–24:00'}]",Menú
Barroko's Barcelona,Discoteca,Barcelona,"Carrer d'Aribau, 242, Sarrià-Sant Gervasi, 08006 Barcelona",discotecabarrokos.com,NO_EMAIL,932011377,3.4,2258,DJs residentes y música variada en una discoteca moderna y animada con 2 salas y sofás.,"[{'day': 'viernes', 'hours': '0:30–6:00'}, {'day': 'sábado', 'hours': '18:00–24:00'}, {'day': 'domingo', 'hours': '0:00–6:0018:00–24:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': 'Cerrado'}, {'day': 'jueves', 'hours': '19:00–23:00'}]",NOT_FOUND
Bonavida Cocktail Bar,Coctelería,NO_CITY,"Carrer de Casp, 22, L'Eixample, 08010 Barcelona",bonavidabcn.com,info@bonavidabcn.com,NO_PHONE,4.4,2163,"Bar moderno y elegante con terraza, una carta de cócteles innovadora y un menú de tapas.","[{'day': 'viernes', 'hours': '9:00–2:00'}, {'day': 'sábado', 'hours': '16:00–2:00'}, {'day': 'domingo', 'hours': '17:00–1:00'}, {'day': 'lunes', 'hours': '9:00–1:00'}, {'day': 'martes', 'hours': '9:00–2:00'}, {'day': 'miércoles', 'hours': '9:00–2:00'}, {'day': 'jueves', 'hours': '9:00–2:00'}]",Reservar una mesa
Sala Plataforma Barcelona,Discoteca,Barcelona,"Carrer Nou de la Rambla, 145, Sants-Montjuïc, 08004 Barcelona",salaplataforma.com,support@readymag.com,607249478,3.5,2029,"Discoteca animada, con una singular decoración de aire industrial, sesiones de DJs, conciertos en directo y cócteles.","[{'day': 'viernes', 'hours': 'Abierto 24 horas'}, {'day': 'sábado', 'hours': '0:00–6:00'}, {'day': 'domingo', 'hours': '0:01–7:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': 'Cerrado'}, {'day': 'jueves', 'hours': '0:00–5:00'}]",NOT_FOUND
La Trini | TAPAS BARCELONA,Restaurante,Barcelona,"Carrer de Verdi, 30, Gràcia, 08012 Barcelona",latrini30.com,info@latrini30.com,932370335,4.2,1979,"Platos catalanes, cerveza artesanal y vermú en un bar acogedor con paredes de azulejos y una barra amplia.","[{'day': 'viernes', 'hours': '13:00–24:00'}, {'day': 'sábado', 'hours': '13:00–24:00'}, {'day': 'domingo', 'hours': '13:00–24:00'}, {'day': 'lunes', 'hours': '13:00–24:00'}, {'day': 'martes', 'hours': '13:00–24:00'}, {'day': 'miércoles', 'hours': '13:00–24:00'}, {'day': 'jueves', 'hours': '13:00–24:00'}]",Hacer un pedido
La Cerveseria | TAPAS • SPORTS BAR • TERRAZA,Bar de tapas,NO_CITY,"Plaça Revolució de Setembre 1868, 3, Gràcia, 08012 Barcelona",lacerveseria.com,info@lacerveseria.com,932139533,3.0,1794,"Tapas y menú mediterráneo casero en bar familiar con producto local, terraza y pantallas para ver fútbol.","[{'day': 'viernes', 'hours': '12:00–24:00'}, {'day': 'sábado', 'hours': '12:00–24:00'}, {'day': 'domingo', 'hours': '12:00–24:00'}, {'day': 'lunes', 'hours': '12:00–24:00'}, {'day': 'martes', 'hours': '12:00–24:00'}, {'day': 'miércoles', 'hours': '12:00–24:00'}, {'day': 'jueves', 'hours': '12:00–24:00'}]",Menú
Hyde Club Barcelona,Discoteca,Barcelona,"Passatge de Domingo, 3, L'Eixample, 08007 Barcelona",hydebcn.com,infohyde@gmail.com,654201006,3.8,1754,"Discoteca moderna con sesiones de DJ y un escenario pequeño con espectáculos en directo, cócteles, sushi y piscolabis.","[{'day': 'viernes', 'hours': '0:00–3:0021:00–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0021:00–24:00'}, {'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': 'Cerrado'}, {'day': 'jueves', 'hours': '21:00–24:00'}]",NOT_FOUND
Bikini Barcelona,Discoteca,Barcelona,Planta B1 · L'illa Diagonal,"L'Illia, Av. Diagonal, 547, 08029 Barcelona",NO_EMAIL,933220800,3.8,1653,Famosa discoteca con sesiones de DJs y un escenario para conciertos en directo.,"[{'day': 'viernes', 'hours': '0:00–5:0023:55–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0023:55–24:00'}, {'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': 'Cerrado'}, {'day': 'jueves', 'hours': '23:55–24:00'}]",bikinibcn.com
Karaoke Nick,Karaoke,Barcelona,"Av. de Madrid, 160, Sants-Montjuïc, 08028 Barcelona",discotecanick.com,NO_EMAIL,661886508,3.4,1440,"Banco corrido, luces de neón y billar en bar-karaoke que también ofrece servicio de restaurante.","[{'day': 'viernes', 'hours': '0:00–6:0022:00–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0022:00–24:00'}, {'day': 'domingo', 'hours': '0:00–6:0023:00–24:00'}, {'day': 'lunes', 'hours': '0:00–6:0023:00–24:00'}, {'day': 'martes', 'hours': '0:00–6:0023:00–24:00'}, {'day': 'miércoles', 'hours': '0:00–6:0023:00–24:00'}, {'day': 'jueves', 'hours': '0:00–6:0023:00–24:00'}]",NOT_FOUND
Gracia Latina,Bar musical,Barcelona,"Carrer de l'Or, 19, Gràcia, 08012 Barcelona",facebook.com,NO_EMAIL,669268167,4.2,1356,"Música latina en directo, zona de baile y cócteles en un bar acogedor que ofrece clases de salsa y bachata.","[{'day': 'viernes', 'hours': '21:00–3:00'}, {'day': 'sábado', 'hours': '21:00–3:00'}, {'day': 'domingo', 'hours': '21:00–2:30'}, {'day': 'lunes', 'hours': '21:00–2:30'}, {'day': 'martes', 'hours': '21:00–2:30'}, {'day': 'miércoles', 'hours': '21:00–2:30'}, {'day': 'jueves', 'hours': '21:00–2:30'}]",NOT_FOUND
Plata Cocktail Bar,Coctelería,Barcelona,"Carrer del Consell de Cent, 233, L'Eixample, 08011 Barcelona",platabar.com,cocktailbar@platabar.com,934524636,4.6,1346,Elaboraciones creativas con originales presentaciones en una coctelería con luces de neón y ambiente acogedor.,"[{'day': 'viernes', 'hours': '21:00–2:30'}, {'day': 'sábado', 'hours': '21:00–2:30'}, {'day': 'domingo', 'hours': 'Cerrado'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': 'Cerrado'}, {'day': 'jueves', 'hours': '21:00–1:00'}]",Menú
YouBarcelona - Lista Isaac,Vendedor de entradas para eventos,Barcelona,"Pl. d'Urquinaona, 6, L'Eixample, 08010 Barcelona",youbarcelona.com,NO_EMAIL,627099253,4.9,1301,NOT_FOUND,"[{'day': 'viernes', 'hours': 'Abierto 24 horas'}, {'day': 'sábado', 'hours': 'Abierto 24 horas'}, {'day': 'domingo', 'hours': 'Abierto 24 horas'}, {'day': 'lunes', 'hours': 'Abierto 24 horas'}, {'day': 'martes', 'hours': 'Abierto 24 horas'}, {'day': 'miércoles', 'hours': 'Abierto 24 horas'}, {'day': 'jueves', 'hours': 'Abierto 24 horas'}]",NOT_FOUND
Chatelet,Bar,NO_CITY,"Carrer de Torrijos, 54, Gràcia, 08012 Barcelona",NO_WEBSITE,,NO_PHONE,4.1,1282,"Bar moderno con decoración llamativa, cócteles especiales, nachos y otros tentempiés.","[{'day': 'viernes', 'hours': '19:00–3:00'}, {'day': 'sábado', 'hours': '19:00–3:00'}, {'day': 'domingo', 'hours': '19:00–1:30'}, {'day': 'lunes', 'hours': '19:00–1:30'}, {'day': 'martes', 'hours': '19:00–1:30'}, {'day': 'miércoles', 'hours': '19:00–1:30'}, {'day': 'jueves', 'hours': '19:00–1:30'}]",NOT_FOUND
Bar Bodega Quimet,Bar,Barcelona,"Carrer de Vic, 23, Gràcia, 08006 Barcelona",barbodegaquimet.weebly.com,NO_EMAIL,932184189,4.6,1251,"Bar acogedor y tradicional de tapas, frecuentado por lugareños, que sirve vinos de Cataluña y vermú casero.","[{'day': 'viernes', 'hours': '10:00–16:0018:00–23:00'}, {'day': 'sábado', 'hours': '11:00–16:0018:00–23:00'}, {'day': 'domingo', 'hours': '11:00–16:00'}, {'day': 'lunes', 'hours': '10:00–16:00'}, {'day': 'martes', 'hours': '10:00–16:0018:00–23:00'}, {'day': 'miércoles', 'hours': '10:00–16:0018:00–23:00'}, {'day': 'jueves', 'hours': '10:00–16:0018:00–23:00'}]",NOT_FOUND
Restaurante Bar Casa Vall,Bar de tapas,NO_CITY,"Plaça de Rovira i Trias, 3, Gràcia, 08024 Barcelona",NO_WEBSITE,,NO_PHONE,3.8,1251,NOT_FOUND,"[{'day': 'viernes', 'hours': '8:30–1:00'}, {'day': 'sábado', 'hours': '10:00–1:00'}, {'day': 'domingo', 'hours': '10:00–24:00'}, {'day': 'lunes', 'hours': '8:30–24:00'}, {'day': 'martes', 'hours': '8:30–24:00'}, {'day': 'miércoles', 'hours': '8:30–24:00'}, {'day': 'jueves', 'hours': '8:30–24:00'}]",NOT_FOUND
ELEPHANTA GINBAR COCTELERIA,Coctelería,Barcelona,"Carrer del Torrent d'En Vidalet, 37, Gràcia, 08012 Barcelona",elephanta.cat,elephanta@elephanta.cat,932376906,4.6,1156,"Bar vistoso con toques de estilo retro y piedra vista, donde se ofrecen cócteles artesanales con ginebra.","[{'day': 'viernes', 'hours': '18:00–3:00'}, {'day': 'sábado', 'hours': '18:00–3:00'}, {'day': 'domingo', 'hours': '17:00–23:30'}, {'day': 'lunes', 'hours': '18:00–1:30'}, {'day': 'martes', 'hours': '18:00–1:30'}, {'day': 'miércoles', 'hours': '18:00–1:30'}, {'day': 'jueves', 'hours': '18:00–2:30'}]",Menú
La Fira Villarroel,Discoteca,Barcelona,"Carrer de Villarroel, 216, L'Eixample, 08036 Barcelona",lafiravillarroel.com,NO_EMAIL,676828595,3.6,1118,"Discoteca vistosa y concurrida con sofás lujosos, mesas que brillan en la oscuridad y bares.","[{'day': 'viernes', 'hours': '23:55–5:30'}, {'day': 'sábado', 'hours': '18:00–23:0023:55–5:30'}, {'day': 'domingo', 'hours': 'Cerrado'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': 'Cerrado'}, {'day': 'jueves', 'hours': 'Cerrado'}]",Amigable con la comunidad LGTBI+
Bobby Gin,Coctelería,Barcelona,"Carrer de Francisco Giner, 47, Gràcia, 08012 Barcelona",bobbygin.com,NO_EMAIL,933681892,4.3,1099,Sus gin-tonics con ginebra infusionada casera son el principal reclamo de este pub sofisticado y bohemio.,"[{'day': 'viernes', 'hours': '19:00–3:00'}, {'day': 'sábado', 'hours': '19:00–3:00'}, {'day': 'domingo', 'hours': '19:00–2:00'}, {'day': 'lunes', 'hours': '19:00–2:00'}, {'day': 'martes', 'hours': '19:00–2:00'}, {'day': 'miércoles', 'hours': '19:00–2:00'}, {'day': 'jueves', 'hours': '19:00–2:00'}]",Menú
MAGIC ESCAPE BARCELONA,Centro de salas de escape,Barcelona,"Carrer de Ramón y Cajal, 67, Gràcia, 08012 Barcelona",magicescape.es,NO_EMAIL,633228649,4.8,1094,NOT_FOUND,"[{'day': 'viernes', 'hours': '10:00–21:00'}, {'day': 'sábado', 'hours': '10:00–21:00'}, {'day': 'domingo', 'hours': '10:00–21:00'}, {'day': 'lunes', 'hours': '10:00–21:00'}, {'day': 'martes', 'hours': '10:00–21:00'}, {'day': 'miércoles', 'hours': '10:00–21:00'}, {'day': 'jueves', 'hours': '10:00–21:00'}]",NOT_FOUND
M7 Club Barcelona,Discoteca,Barcelona,"Carrer de Mèxic, 7, Sants-Montjuïc, 08004 Barcelona",m7club.net,m7club@europe.com,697341656,4.4,1090,NOT_FOUND,"[{'day': 'viernes', 'hours': '0:00–5:3023:45–24:00'}, {'day': 'sábado', 'hours': '0:00–6:3023:45–24:00'}, {'day': 'domingo', 'hours': '0:00–6:3023:45–24:00'}, {'day': 'lunes', 'hours': '0:00–5:30'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': 'Cerrado'}, {'day': 'jueves', 'hours': '23:45–24:00'}]",NOT_FOUND
14 De La Rosa,Coctelería,NO_CITY,"Carrer de Ferrer de Blanes, 3, Gràcia, 08012 Barcelona",bloodymarybcn.es,NO_EMAIL,934613985,4.7,1073,"Combinados clásicos y creativos, brochetas y raciones en una coctelería acogedora de aire retro.","[{'day': 'viernes', 'hours': '19:00–3:00'}, {'day': 'sábado', 'hours': '16:00–3:00'}, {'day': 'domingo', 'hours': '16:00–1:00'}, {'day': 'lunes', 'hours': '19:00–1:00'}, {'day': 'martes', 'hours': '19:00–2:00'}, {'day': 'miércoles', 'hours': '19:00–2:00'}, {'day': 'jueves', 'hours': '19:00–2:00'}]",Menú
Arena Experience,Discoteca,Barcelona,"Rda. de Sant Pere, 21, Eixample, 08010 Barcelona",grupoarena.com,NO_EMAIL,934875140,3.8,1058,NOT_FOUND,"[{'day': 'viernes', 'hours': '0:00–5:0023:59–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0023:59–24:00'}, {'day': 'domingo', 'hours': '0:00–6:0023:59–24:00'}, {'day': 'lunes', 'hours': '0:00–5:0023:59–24:00'}, {'day': 'martes', 'hours': '0:00–5:0023:59–24:00'}, {'day': 'miércoles', 'hours': '0:00–5:0023:59–24:00'}, {'day': 'jueves', 'hours': '0:00–5:0023:59–24:00'}]",Amigable con la comunidad LGTBI+
Sotavent Bar,Pub,NO_CITY,"Carrer Major de Sarrià, 61, Sarrià-Sant Gervasi, 08017 Barcelona",NO_WEBSITE,,NO_PHONE,4.4,1043,"Pub informal con futbolín, billar, dardos, noches de trívial y partidos televisados.","[{'day': 'viernes', 'hours': '20:00–3:00'}, {'day': 'sábado', 'hours': '20:00–3:00'}, {'day': 'domingo', 'hours': 'Cerrado'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': '20:00–2:00'}, {'day': 'miércoles', 'hours': '20:00–2:00'}, {'day': 'jueves', 'hours': '20:00–2:30'}]",NOT_FOUND
LA ROSE SHISHA LOUNGE BAR,Bar con narguiles,Barcelona,"Carrer de Pau Claris, 103, L'Eixample, 08009 Barcelona",generic-function-553546.framer.app,NO_EMAIL,689227607,4.7,1023,NOT_FOUND,"[{'day': 'viernes', 'hours': '13:00–2:00'}, {'day': 'sábado', 'hours': '13:00–2:00'}, {'day': 'domingo', 'hours': '13:00–1:00'}, {'day': 'lunes', 'hours': '13:00–1:00'}, {'day': 'martes', 'hours': '13:00–1:00'}, {'day': 'miércoles', 'hours': '13:00–1:00'}, {'day': 'jueves', 'hours': '13:00–1:00'}]",Amigable con la comunidad LGTBI+
Skyfall Cocktail Club,Club nocturno,L'Hospitalet de Llobregat,"Avinguda de la Granvia de l’Hospitalet, 144, 08907 L'Hospitalet de Llobregat, Barcelona",skyfallbcn.com,info@skyfallbcn.com,613012610,3.9,1019,NOT_FOUND,"[{'day': 'lunes', 'hours': '19:00–2:00'}, {'day': 'martes', 'hours': '19:00–2:00'}, {'day': 'miércoles', 'hours': '19:00–2:00'}, {'day': 'jueves', 'hours': '19:00–2:00'}, {'day': 'viernes', 'hours': '19:00–3:30'}, {'day': 'sábado', 'hours': '19:00–3:30'}, {'day': 'domingo', 'hours': '17:00–1:00'}]",Planta 0 · Restaurant Terrum
Sol de NIT,Bar,Barcelona,"Plaça del Sol, 9, Gràcia, 08012 Barcelona",sol-de-nit.eltenedor.rest,NO_EMAIL,932373937,3.6,972,"Tapas, ensaladas, raciones y cócteles en un estrecho bar con decoración ecléctica, que trabaja con ingredientes de temporada.","[{'day': 'viernes', 'hours': '11:00–3:00'}, {'day': 'sábado', 'hours': '11:00–3:00'}, {'day': 'domingo', 'hours': '11:00–2:30'}, {'day': 'lunes', 'hours': '11:00–2:30'}, {'day': 'martes', 'hours': '11:00–2:30'}, {'day': 'miércoles', 'hours': '11:00–2:30'}, {'day': 'jueves', 'hours': '11:00–2:30'}]",Reclamar esta empresa
Vermuteria del Tano,Bar,Barcelona,"Carrer de Joan Blanques, 17, Gràcia, 08012 Barcelona",facebook.com,NO_EMAIL,932131058,4.5,947,"Recogida y popular vermutería de toda la vida, con toneles a la vista, que sirve aperitivos clásicos.","[{'day': 'viernes', 'hours': '9:00–21:00'}, {'day': 'sábado', 'hours': '12:00–16:00'}, {'day': 'domingo', 'hours': '12:00–16:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': '9:00–21:00'}, {'day': 'miércoles', 'hours': '9:00–21:00'}, {'day': 'jueves', 'hours': '9:00–21:00'}]",Reclamar esta empresa
Solange Cocktails & Luxury Spirits,Coctelería,NO_CITY,"Carrer d'Aribau, 143, L'Eixample, 08036 Barcelona",solangecocktail.com,NO_EMAIL,931643625,4.5,891,Cócteles sofisticados e innovadores en un bar refinado con temática inspirada en James Bond.,"[{'day': 'viernes', 'hours': '18:00–2:30'}, {'day': 'sábado', 'hours': '18:00–2:30'}, {'day': 'domingo', 'hours': '18:00–1:30'}, {'day': 'lunes', 'hours': '18:00–1:30'}, {'day': 'martes', 'hours': '18:00–1:30'}, {'day': 'miércoles', 'hours': '18:00–1:30'}, {'day': 'jueves', 'hours': '18:00–1:30'}]",Menú
Bar Ri,Restaurante,NO_CITY,"Plaça de Joaquim Pena, 4, Sarrià-Sant Gervasi, 08017 Barcelona",barribarcelona.com,sarria@barribarcelona.com,932057856,3.9,879,"Hamburguesas, tapas y especiales del día en comedor chic y minimalista con pared de ladrillo.",NOT_FOUND,Hacer un pedido
Bar El OtrO,Bar,Barcelona,"Travessera de Gràcia, 167, Gràcia, 08012 Barcelona",barelotro.com,info@barelotro.com,931478833,4.1,873,"Cócteles, incluidas opciones congeladas, cervezas y tapas servidos en un bar bohemio pintado de colores vivos.","[{'day': 'viernes', 'hours': '18:00–3:00'}, {'day': 'sábado', 'hours': '18:00–3:00'}, {'day': 'domingo', 'hours': '18:00–2:30'}, {'day': 'lunes', 'hours': '18:00–2:30'}, {'day': 'martes', 'hours': '18:00–2:30'}, {'day': 'miércoles', 'hours': '18:00–2:30'}, {'day': 'jueves', 'hours': '18:00–2:30'}]",NOT_FOUND
Almodobar Barcelona,Discoteca,Barcelona,"Carrer d'en Grassot, 36, Gràcia, 08025 Barcelona",grupalmodobar.com,NO_EMAIL,932073855,2.2,861,Bar de copas y cócteles con música actual y karaoke de sofás naranjas y escenario en discoteca de dos plantas.,"[{'day': 'viernes', 'hours': '0:00–5:0023:00–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0023:00–24:00'}, {'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': 'Cerrado'}, {'day': 'jueves', 'hours': '23:00–24:00'}]",NOT_FOUND
Bar Salvatge,Vinoteca,Barcelona,"Carrer de Verdi, 50, Gràcia, 08012 Barcelona",barsalvatge.com,info@barsalvatge.com,932529767,4.1,817,Vinos orgánicos y platos y quesos locales en un bar de estilo rústico chic.,"[{'day': 'viernes', 'hours': '18:00–0:30'}, {'day': 'sábado', 'hours': '13:00–1:00'}, {'day': 'domingo', 'hours': '13:00–0:30'}, {'day': 'lunes', 'hours': '18:00–0:30'}, {'day': 'martes', 'hours': '18:00–0:30'}, {'day': 'miércoles', 'hours': '18:00–0:30'}, {'day': 'jueves', 'hours': '18:00–0:30'}]",NOT_FOUND
