name,category,city,address,website,email,phone,reviews_rating,num_reviews,description,schedule,auxiliar(borrar),img1,img2
Bobby's Free,Coctelería,Barcelona,"Carrer de Pau Claris, 85, L'Eixample, 08010 Barcelona",bobbysfree.com,bobbysfreebarcelona@gmail.com,NO_PHONE,4.6,3712,"Cócteles elaborados y gin-tonics en un bar bohemio, con una iluminación tenue y una fachada que se asemeja a la de una barbería.","[{'day': 'viernes', 'hours': '19:00–3:30'}, {'day': 'sábado', 'hours': '19:00–3:30'}, {'day': 'domingo', 'hours': '19:00–3:00'}, {'day': 'lunes', 'hours': '19:00–3:00'}, {'day': 'martes', 'hours': '19:00–3:00'}, {'day': 'miércoles', 'hours': '19:00–3:00'}, {'day': 'jueves', 'hours': '19:00–3:00'}]",NOT_FOUND,https://lh5.googleusercontent.com/p/AF1QipOoJ7FT2Bs1LNp3TQHoy2sF_VA1a1if4Ptyo0bi=w122-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipN62MTvi1U5nBvZeresW8mPQDxWhM1UK9ZWG0as=w408-h271-k-no
Slow Barcelona,Discoteca,NO_CITY,"Carrer de París, 186, L'Eixample, 08036 Barcelona",slowbarcelona.es,info@slowbarcelona.es,933681455,4.5,3466,"Cócteles clásicos y personalizados, música en directo y discoteca, en un bar de lujo con decoración inspirada en un bosque.","[{'day': 'viernes', 'hours': '0:00–5:0019:00–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0019:00–24:00'}, {'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': '19:00–24:00'}, {'day': 'martes', 'hours': '0:00–5:0019:00–24:00'}, {'day': 'miércoles', 'hours': '0:00–5:0019:00–24:00'}, {'day': 'jueves', 'hours': '0:00–5:0019:00–24:00'}]",Carta,https://lh5.googleusercontent.com/p/AF1QipNnc_RGcgZT-UFIrsc0pc5QtAWRuMzZ7dtTsXxe=w122-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipMKa8WrZFWF4yBHbVJBSAkZ7DJTLPexQKGRAdHC=w513-h240-k-no
Bling Bling Barcelona,Discoteca,NO_CITY,"Carrer de Tuset, 8-10, Sarrià-Sant Gervasi, 08006 Barcelona",blingblingbcn.com,NO_EMAIL,664244209,3.1,3318,"Aperitivos de bar clásicos, champán y narguiles en una glamurosa discoteca de moda con pista de baile.","[{'day': 'viernes', 'hours': '0:30–6:00'}, {'day': 'sábado', 'hours': '0:30–6:0018:00–23:00'}, {'day': 'domingo', 'hours': 'Cerrado'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': '0:30–5:00'}, {'day': 'jueves', 'hours': '0:30–5:00'}]",Carta,https://lh5.googleusercontent.com/p/AF1QipOhQUp2ae80kROr8Ff6CUhhqTfcBS-oJD6Bkvg=w137-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipOYSBXRKgbhIktKpPKNNOtuwHIhoybapSUloK8=w408-h272-k-no
Twenties Barcelona,Discoteca,Barcelona,"Carrer del Rosselló, 208, Eixample, 08008 Barcelona",twentiesbarcelona.com,info@twentiesbarcelona.com,628708158,3.4,2901,"Cócteles y ritmos de reguetón y hip hop en una discoteca que recuerda a una cueva, con noches temáticas y espectáculos de luz.","[{'day': 'viernes', 'hours': '0:00–5:0023:55–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0023:55–24:00'}, {'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': '23:55–24:00'}, {'day': 'jueves', 'hours': '0:00–5:0023:55–24:00'}]",NOT_FOUND,https://lh5.googleusercontent.com/p/AF1QipMb9D1saxAp9gDdW0Ponn43X5d0pUFkMSvWSg97=w138-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipOzsDuHxBvJfoehE08Y2q74eDNA5sx44CidEXvr=w408-h612-k-no
Nu Bcn,Restaurante de alta cocina,Barcelona,Hacer un pedido,"C. del Dr. Fleming, 12 - 14, Distrito de Sarrià-Sant Gervasi, 08017 Barcelona",NO_EMAIL,932411720,4.0,2832,"Platos de alta cocina, sushi y cócteles en un restaurante exclusivo con terraza, pista de baile y sesiones de DJs.","[{'day': 'viernes', 'hours': '13:00–3:00'}, {'day': 'sábado', 'hours': '13:00–3:00'}, {'day': 'domingo', 'hours': '13:00–2:30'}, {'day': 'lunes', 'hours': '13:00–23:30'}, {'day': 'martes', 'hours': '13:00–23:30'}, {'day': 'miércoles', 'hours': '13:00–2:30'}, {'day': 'jueves', 'hours': '13:00–2:30'}]",nu-bcn.com,https://lh5.googleusercontent.com/p/AF1QipP5JJiOTLzrniTTSjgze4JT4AcbGA1bjNySYQrl=w140-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipO6l7kPwRbtfUz6bfHHVXjVlQVhM2TpcXEh0PRf=w408-h267-k-no
La Rovira,Bar de tapas,Barcelona,"Carrer de Rabassa, 23, Gràcia, 08024 Barcelona",facebook.com,NO_EMAIL,934638788,4.4,2696,"Taberna acogedora, con terraza y cervezas artesanales, que sirve tapas y bocadillos durante todo el día.","[{'day': 'viernes', 'hours': '9:00–1:00'}, {'day': 'sábado', 'hours': '9:00–1:00'}, {'day': 'domingo', 'hours': '9:00–24:00'}, {'day': 'lunes', 'hours': '9:00–24:00'}, {'day': 'martes', 'hours': '9:00–24:00'}, {'day': 'miércoles', 'hours': '9:00–24:00'}, {'day': 'jueves', 'hours': '9:00–24:00'}]",NOT_FOUND,https://lh5.googleusercontent.com/p/AF1QipP3urKlxuKx1VZZ0XwNFUgtbAC8s2jObPhGmTh9=w122-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipPDXjrYG1yylkjE5SAvPmSsMJZ0zrcpAWpcjOBF=w427-h240-k-no
DISCO CITY HALL BARCELONA,Discoteca,Barcelona,"Rambla de Catalunya, 2, 4, Eixample, 08007 Barcelona",cityhallbarcelona.com,NO_EMAIL,667166789,4.0,2616,"Bebidas, baile y música house, techno y hiphop en una discoteca con sótano, decoración de lujo y una terraza apacible.","[{'day': 'viernes', 'hours': '0:00–6:00'}, {'day': 'sábado', 'hours': '0:00–6:00'}, {'day': 'domingo', 'hours': '0:00–5:00'}, {'day': 'lunes', 'hours': '0:00–5:00'}, {'day': 'martes', 'hours': '0:00–5:00'}, {'day': 'miércoles', 'hours': '0:00–5:00'}, {'day': 'jueves', 'hours': '0:00–5:00'}]",Amigable con la comunidad LGTBI+,https://lh5.googleusercontent.com/p/AF1QipNenv4WTODHqA6kjR1udMw4IHrK_0Xd042PvHX3=w80-h112-k-no,https://lh5.googleusercontent.com/p/AF1QipN7PGz9fshALz0ORCYwJNxVSu9I35aZDg0Af7A=w426-h240-k-no
Safari Disco Club Barcelona,Discoteca,Barcelona,"Carrer de Tarragona, 141, Sants-Montjuïc, 08014 Barcelona",safaridiscoclub.com,NO_EMAIL,934878342,3.8,2494,"Discoteca animada, que abre toda la noche, con dos pistas de bailes y fiestas temáticas.",NOT_FOUND,Cerrado ⋅ Apertura: 23:59,https://lh5.googleusercontent.com/p/AF1QipNFuwmnpTP29aNomW5zbdIT-O_Z4rAvZGoTWVL9=w137-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipOpeBEz6oiqIIA06_lo-9yQsVu7FdXvYu9RHWhT=w408-h306-k-no
Safari Disco Club Barcelona,Discoteca,Barcelona,"Carrer de Tarragona, 141, Sants-Montjuïc, 08014 Barcelona",safaridiscoclub.com,NO_EMAIL,934878342,3.8,2494,"Discoteca animada, que abre toda la noche, con dos pistas de bailes y fiestas temáticas.",NOT_FOUND,Cerrado ⋅ Apertura: 23:59,https://lh5.googleusercontent.com/p/AF1QipN5fdG8Qn5nEMMWQAaVQOZgkFs8dNlys06UZJBn=w137-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipOpeBEz6oiqIIA06_lo-9yQsVu7FdXvYu9RHWhT=w408-h306-k-no
Barroko's Barcelona,Discoteca,Barcelona,"Carrer d'Aribau, 242, Sarrià-Sant Gervasi, 08006 Barcelona",discotecabarrokos.com,NO_EMAIL,932011377,3.4,2278,DJs residentes y música variada en una discoteca moderna y animada con 2 salas y sofás.,"[{'day': 'viernes', 'hours': '0:30–6:00'}, {'day': 'sábado', 'hours': '18:00–24:00'}, {'day': 'domingo', 'hours': '0:00–6:0018:00–24:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': 'Cerrado'}, {'day': 'jueves', 'hours': '19:00–23:00'}]",NOT_FOUND,https://lh5.googleusercontent.com/p/AF1QipM9xOrpPH-Vwca3w8za-oRJDUkS0GRUBRekR2g6=w122-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipPtrDbLsPiVP09x8SENunZeb9VylAu1lr_Bibm_=w408-h403-k-no
Sala Plataforma Barcelona,Discoteca,Barcelona,"Carrer Nou de la Rambla, 145, Sants-Montjuïc, 08004 Barcelona",salaplataforma.com,support@readymag.com,607249478,3.5,2035,"Discoteca animada, con una singular decoración de aire industrial, sesiones de DJs, conciertos en directo y cócteles.","[{'day': 'viernes', 'hours': 'Abierto 24 horas'}, {'day': 'sábado', 'hours': '0:00–6:00'}, {'day': 'domingo', 'hours': '0:01–7:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': 'Cerrado'}, {'day': 'jueves', 'hours': '0:00–5:00'}]",NOT_FOUND,https://lh5.googleusercontent.com/p/AF1QipPTiXMYvc93P9g2VFZThCSuJezt7stsFmjqmDMi=w122-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipNXMaOGJda9y1leqiNJq_-9Ux0MGndk5pyWYSst=w408-h544-k-no
Hyde Club Barcelona,Discoteca,Barcelona,"Passatge de Domingo, 3, L'Eixample, 08007 Barcelona",hydebcn.com,infohyde@gmail.com,654201006,3.8,1759,"Discoteca moderna con sesiones de DJ y un escenario pequeño con espectáculos en directo, cócteles, sushi y piscolabis.","[{'day': 'viernes', 'hours': '0:00–3:0021:00–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0021:00–24:00'}, {'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': 'Cerrado'}, {'day': 'jueves', 'hours': '21:00–24:00'}]",NOT_FOUND,https://lh5.googleusercontent.com/p/AF1QipNXBRQfJ6MxwqkoZMQQx6E_39zK-aYmvYaD9ELP=w138-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipMMmUgy9QFCC8oCTOB3mte_EDj4ZHhyrBSyFX05=w408-h271-k-no
Bar Mandri,Bar de tapas,Barcelona,"Carrer de Mandri, 60, Sarrià-Sant Gervasi, 08022 Barcelona",mandribar.com,NO_EMAIL,934171129,4.2,1636,"Raciones típicas en un bar de tapas de toda la vida, con un largo mostrador, famoso por sus patatas bravas.","[{'day': 'viernes', 'hours': '7:00–24:00'}, {'day': 'sábado', 'hours': '8:00–16:00'}, {'day': 'domingo', 'hours': 'Cerrado'}, {'day': 'lunes', 'hours': '7:00–24:00'}, {'day': 'martes', 'hours': '7:00–24:00'}, {'day': 'miércoles', 'hours': '7:00–24:00'}, {'day': 'jueves', 'hours': '7:00–24:00'}]",Carta,https://lh5.googleusercontent.com/p/AF1QipPO42c8quh-Ion3GQpRCogMBrm7gE1ywe7iYVrh=w163-h92-k-no,https://lh3.googleusercontent.com/p/AF1QipM_8Y7gltGtep6L7hc8hANYoaHnPUg916wGy50n=w408-h240-k-no-pi-30-ya3.2645402-ro0-fo100
Costa Breve Barcelona,Discoteca,Barcelona,"Carrer d'Aribau, 230, Sarrià-Sant Gervasi, 08006 Barcelona",grupocostabreve.com,hola@grupocostabreve.com,655785096,3.0,1550,"Discoteca animada, de ambiente juvenil, con fiestas temáticas, 2 pistas de baile y varios bares.","[{'day': 'viernes', 'hours': '0:30–6:00'}, {'day': 'sábado', 'hours': '0:30–6:00'}, {'day': 'domingo', 'hours': 'Cerrado'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': '0:30–5:00'}, {'day': 'jueves', 'hours': '0:30–5:00'}]",NOT_FOUND,https://lh5.googleusercontent.com/p/AF1QipPLuGwvB5imS-kgKsTRSr2p7pMSnLPqS8y7XGY=w122-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipM0kc-oDbm1kuWikhyWH46yu4EcUpqdpyNqv09L=w408-h272-k-no
Karaoke Nick,Karaoke,Barcelona,"Av. de Madrid, 160, Sants-Montjuïc, 08028 Barcelona",discotecanick.com,NO_EMAIL,661886508,3.4,1443,"Banco corrido, luces de neón y billar en bar-karaoke que también ofrece servicio de restaurante.","[{'day': 'viernes', 'hours': '0:00–6:0022:00–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0022:00–24:00'}, {'day': 'domingo', 'hours': '0:00–6:0023:00–24:00'}, {'day': 'lunes', 'hours': '0:00–6:0023:00–24:00'}, {'day': 'martes', 'hours': '0:00–6:0023:00–24:00'}, {'day': 'miércoles', 'hours': '0:00–6:0023:00–24:00'}, {'day': 'jueves', 'hours': '0:00–6:0023:00–24:00'}]",NOT_FOUND,https://lh5.googleusercontent.com/p/AF1QipPImstVqKFYFPMqCqZXP4OHMGaLIg6vzPGMexx8=w184-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipNcnjx6hHjKxFuoTcqRLpxje-GCQdW-NYqV-K2n=w408-h725-k-no
Gracia Latina,Bar musical,Barcelona,"Carrer de l'Or, 19, Gràcia, 08012 Barcelona",facebook.com,NO_EMAIL,669268167,4.2,1358,"Música latina en directo, zona de baile y cócteles en un bar acogedor que ofrece clases de salsa y bachata.","[{'day': 'viernes', 'hours': '21:00–3:00'}, {'day': 'sábado', 'hours': '21:00–3:00'}, {'day': 'domingo', 'hours': '21:00–2:30'}, {'day': 'lunes', 'hours': '21:00–2:30'}, {'day': 'martes', 'hours': '21:00–2:30'}, {'day': 'miércoles', 'hours': '21:00–2:30'}, {'day': 'jueves', 'hours': '21:00–2:30'}]",NOT_FOUND,https://lh5.googleusercontent.com/p/AF1QipOP3IQtapAbw5DrE4Jae4WHh3XV6bEIwGkVIRbI=w122-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipOP3IQtapAbw5DrE4Jae4WHh3XV6bEIwGkVIRbI=w408-h306-k-no
Plata Cocktail Bar,Coctelería,Barcelona,"Carrer del Consell de Cent, 233, L'Eixample, 08011 Barcelona",platabar.com,cocktailbar@platabar.com,934524636,4.6,1356,Elaboraciones creativas con originales presentaciones en una coctelería con luces de neón y ambiente acogedor.,"[{'day': 'viernes', 'hours': '21:00–2:30'}, {'day': 'sábado', 'hours': '21:00–2:30'}, {'day': 'domingo', 'hours': 'Cerrado'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': 'Cerrado'}, {'day': 'jueves', 'hours': '21:00–1:00'}]",Carta,https://lh5.googleusercontent.com/p/AF1QipNMQkEu7MrEuIxIJ4ACw8ivWAkQ0VwYHvyLtpWJ=w80-h132-k-no,https://lh5.googleusercontent.com/p/AF1QipNMQkEu7MrEuIxIJ4ACw8ivWAkQ0VwYHvyLtpWJ=w408-h674-k-no
Bar Bodega Quimet,Bar,Barcelona,"Carrer de Vic, 23, Gràcia, 08006 Barcelona",barbodegaquimet.weebly.com,NO_EMAIL,932184189,4.6,1259,"Bar acogedor y tradicional de tapas, frecuentado por lugareños, que sirve vinos de Cataluña y vermú casero.","[{'day': 'viernes', 'hours': '10:00–16:0018:00–23:00'}, {'day': 'sábado', 'hours': '11:00–16:0018:00–23:00'}, {'day': 'domingo', 'hours': '11:00–16:00'}, {'day': 'lunes', 'hours': '10:00–16:00'}, {'day': 'martes', 'hours': '10:00–16:0018:00–23:00'}, {'day': 'miércoles', 'hours': '10:00–16:0018:00–23:00'}, {'day': 'jueves', 'hours': '10:00–16:0018:00–23:00'}]",NOT_FOUND,https://lh5.googleusercontent.com/p/AF1QipOD_wZcT-NJTb6biE4JJM-vj55k8YzcCOeHqz99=w199-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipOlhXWxZy_3YtFVzYvWIV1ELQq_jg8Hhcy0Vm2d=w408-h575-k-no
El Sueño,Bar de tapas,NO_CITY,"Carrer de les Aigües del Llobregat, 110B, 08906 L'Hospitalet de Llobregat, Barcelona",instagram.com,NO_EMAIL,937043141,4.3,1205,Amplio menú con gran variedad de tapas caseras de cocina española en un restaurante informal regentado por gente de la zona.,"[{'day': 'viernes', 'hours': '11:30–16:0019:00–23:00'}, {'day': 'sábado', 'hours': '11:30–16:0019:00–23:00'}, {'day': 'domingo', 'hours': '11:30–16:0019:00–23:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': '11:30–16:0019:00–23:00'}, {'day': 'miércoles', 'hours': '11:30–16:0019:00–23:00'}, {'day': 'jueves', 'hours': '11:30–16:0019:00–23:00'}]",Carta,https://lh5.googleusercontent.com/p/AF1QipMAZp3SQlI0XLXQDZG2zOt3tTeRpTJW9wQrYxBw=w122-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipOc23Dy6J6mvW9-cxknDPjLbTSnUAZNi9-O4yJ0=w426-h240-k-no
Bar Cervecería El Coto,Bar,NO_CITY,"Avinguda de Can Serra, 82, 08906 L'Hospitalet de Llobregat, Barcelona",NO_WEBSITE,,NO_PHONE,4.3,1165,NOT_FOUND,"[{'day': 'viernes', 'hours': '8:30–24:00'}, {'day': 'sábado', 'hours': '9:00–24:00'}, {'day': 'domingo', 'hours': '9:00–18:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': '8:30–23:00'}, {'day': 'miércoles', 'hours': '8:30–23:00'}, {'day': 'jueves', 'hours': '8:30–23:00'}]",NOT_FOUND,https://lh5.googleusercontent.com/p/AF1QipNEx8QBefZ2_2lJb8o_4xnSgx2QUXL5du0DnbNl=w163-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipM0MC5GZ0ZSCzBtWQ_7qVu0_vKFuG-jgf3m-ZfZ=w408-h545-k-no
