name,category,address,website,phone,city,auxiliar,reviews_rating,num_reviews,description,schedule,img1,img2
Casa SOLER,Club nocturno,"Carrer de Miquel Àngel, 19, Sants-Montjuïc, 08028 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.2,10,NOT_FOUND,NOT_FOUND,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vGsXhv3qCGAcxfR1GQq7rw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=170.3653&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vGsXhv3qCGAcxfR1GQq7rw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=170.3653&pitch=0&thumbfov=100
Input - High Fidelity Dance Club,Club nocturno,"Av. de Francesc Ferrer i Guàrdia, 13, Sants-Montjuïc, 08038 Barcelona",inputbcn.com,NO_PHONE,NO_CITY,NOT_FOUND,4.1,822,"Sesiones de DJs internacionales en una discoteca con proyectores, láseres y un sistema de sonido potente.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",https://lh5.googleusercontent.com/p/AF1QipNCjBWy99B9gt3JUTMMIaVuaCg58oRcV01cJkP8=w122-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipPOrryIorisW5otYBI-IKkbXnsbgQrrxifCXwQq=w408-h272-k-no
Margaritas Xavi,Club nocturno,"Carrer de Mèxic, 28, Sants-Montjuïc, 08004 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.6,14,NOT_FOUND,NOT_FOUND,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OTsCiuHMevUfb-IRI1cN4g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=241.73903&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OTsCiuHMevUfb-IRI1cN4g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=241.73903&pitch=0&thumbfov=100
POPair Party,Club nocturno,"Carrer de Tarragona, 141, Sants-Montjuïc, 08014 Barcelona",popairparty.com,610857817,Barcelona,Se encuentra en: Safari Disco Club Barcelona,4.5,16,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",https://lh5.googleusercontent.com/p/AF1QipN7kOLEIffdkTb0PJBtLkMc9iOwp7g4MxSZF_I8=w80-h106-k-no,https://lh5.googleusercontent.com/p/AF1QipN7kOLEIffdkTb0PJBtLkMc9iOwp7g4MxSZF_I8=w408-h544-k-no
Sala Club Renfe,Lounge,Se encuentra en: Barcelona-Sants,"Pl. dels Països Catalans, s/n, Sants-Montjuïc, 08014 Barcelona",NO_PHONE,NO_CITY,NOT_FOUND,3.3,35,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",https://lh5.googleusercontent.com/p/AF1QipN8EMsG-ZKc1vfpKIbrGkcS6gGJkpJnoMgKNuU=w80-h106-k-no,https://lh5.googleusercontent.com/p/AF1QipN8EMsG-ZKc1vfpKIbrGkcS6gGJkpJnoMgKNuU=w408-h544-k-no
Karaoke Nick,Karaoke,"Av. de Madrid, 160, Sants-Montjuïc, 08028 Barcelona",discotecanick.com,661886508,Barcelona,NOT_FOUND,3.4,1443,"Banco corrido, luces de neón y billar en bar-karaoke que también ofrece servicio de restaurante.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",https://lh5.googleusercontent.com/p/AF1QipPImstVqKFYFPMqCqZXP4OHMGaLIg6vzPGMexx8=w184-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipNcnjx6hHjKxFuoTcqRLpxje-GCQdW-NYqV-K2n=w408-h725-k-no
YASS! Barcelona | LGTBIQ+ Gay Party,Discoteca,"Carrer de Tarragona, 141, Sants-Montjuïc, 08014 Barcelona",yassparty.com,934878342,Barcelona,Amigable con la comunidad LGTBI+,3.6,66,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",https://lh5.googleusercontent.com/p/AF1QipN-dLfCApdXbmYlHbsp7nhbxiuaVaK3w1DX2fbq=w138-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipOoGPn_QDHyro9VMx7CHBRqFlWvbdToQOXJhUU=w408-h725-k-no
Sala Plataforma Barcelona,Discoteca,"Carrer Nou de la Rambla, 145, Sants-Montjuïc, 08004 Barcelona",salaplataforma.com,607249478,Barcelona,NOT_FOUND,3.5,2035,"Discoteca animada, con una singular decoración de aire industrial, sesiones de DJs, conciertos en directo y cócteles.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",https://lh5.googleusercontent.com/p/AF1QipPTiXMYvc93P9g2VFZThCSuJezt7stsFmjqmDMi=w122-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipNXMaOGJda9y1leqiNJq_-9Ux0MGndk5pyWYSst=w408-h544-k-no
Bar Enka 3,Lounge,"Carrer de Sants, 384, Les Corts, 08028 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.5,133,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",https://lh5.googleusercontent.com/p/AF1QipNkMQvzADRPaYQEB500NKhbktOYtuwzWPOAcVne=w92-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipNkMQvzADRPaYQEB500NKhbktOYtuwzWPOAcVne=w408-h408-k-no
Bananas Party,Club nocturno,"Carrer de Tarragona, 141, Sants-Montjuïc, 08014 Barcelona",bananasparty.com,NO_PHONE,Barcelona,Amigable con la comunidad LGTBI+,4.8,20,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",https://lh5.googleusercontent.com/p/AF1QipPJEPbQK1o2DrUp6OAWV3fFChOWsAAIBBU3noTy=w92-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipOWTZZg3jXNPa-tnH5sDGVJQOMReGLfPxw7m1Gg=w408-h408-k-no
Matinée Barcelona Events,Empresa de organización de eventos,"Poble Espanyol de Montjuïc, Av. de Francesc Ferrer i Guàrdia, 13, Distrito de Sants-Montjuïc, 08038 Barcelona",matineegroup.com,934530510,Barcelona,Reclamar esta empresa,4.0,24,NOT_FOUND,NOT_FOUND,https://lh5.googleusercontent.com/p/AF1QipNg0D2l7VivXR5B_9DWndsU2ImCOAtLuuWH48wm=w80-h173-k-no,https://lh3.googleusercontent.com/p/AF1QipO2oTkQ1X9VUch1iLEuiHp05xWY8sABaj0hXTbT=w408-h725-k-no
YASS! Barcelona | LGTBIQ+ Gay Party,Discoteca,"Carrer de Tarragona, 141, Sants-Montjuïc, 08014 Barcelona",yassparty.com,934878342,Barcelona,Amigable con la comunidad LGTBI+,3.6,66,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",https://lh5.googleusercontent.com/p/AF1QipN-dLfCApdXbmYlHbsp7nhbxiuaVaK3w1DX2fbq=w138-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipOoGPn_QDHyro9VMx7CHBRqFlWvbdToQOXJhUU=w408-h725-k-no
Input - High Fidelity Dance Club,Club nocturno,"Av. de Francesc Ferrer i Guàrdia, 13, Sants-Montjuïc, 08038 Barcelona",inputbcn.com,NO_PHONE,NO_CITY,NOT_FOUND,4.1,822,"Sesiones de DJs internacionales en una discoteca con proyectores, láseres y un sistema de sonido potente.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",https://lh5.googleusercontent.com/p/AF1QipNCjBWy99B9gt3JUTMMIaVuaCg58oRcV01cJkP8=w122-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipPOrryIorisW5otYBI-IKkbXnsbgQrrxifCXwQq=w408-h272-k-no
Beat Lab House & Techno,Organizador de eventos,"CLUB, Carrer de Mèxic, 7, M7, Distrito de Sants-Montjuïc, 08004 Barcelona",es.ra.co,622742662,Barcelona,NOT_FOUND,5.0,2,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",https://lh5.googleusercontent.com/p/AF1QipMbFJIjyk9fdnCBB8lkqvNVr7JWUwGjHyupZ0u7=w138-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipNwlVQWe6Egw94czBgN3ZOk0WW3kKf0Lm4lLISx=w408-h272-k-no
Disco Bar Joes,Bar musical,Se encuentra en: Restaurante Hoja Verde,"Pg. Sant Antoni, 19, Sants-Montjuïc, 08014 Barcelona",674451291,Barcelona,facebook.com,3.8,195,Cócteles y música en una coctelería informal con iluminación tenue y ambiente distendido.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",https://lh5.googleusercontent.com/p/AF1QipMnW52MaRHTd-dLE8qbon_sa6-RkvwHxa7vuRYF=w163-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipO_fMkP84JTAFdw3P_IEFGVg4NVRRT7fT3g_e_T=w408-h544-k-no
Sala París,Lounge,"Carrer d'Arístides Maillol, Les Corts, 08028 Barcelona",NO_WEBSITE,NO_PHONE,Barcelona,NOT_FOUND,4.4,32,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",https://lh5.googleusercontent.com/p/AF1QipNLYXW_ArWMcJuXW4MVapZUsUCFgTeYPvbM7AVs=w163-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipNfviIIFLPiiz8GezkPmwE8E2lcuRSgyL5sB18m=w408-h271-k-no
Sala Apolo Barcelona,Discoteca,"Carrer Nou de la Rambla, 113, Sants-Montjuïc, 08004 Barcelona",sala-apolo.com,934414001,Barcelona,Servicios,4.2,11007,"Gran sala de conciertos de 2 niveles, con 2 bares, fiestas con DJ semanales, actuaciones musicales y eventos.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",https://lh5.googleusercontent.com/p/AF1QipNBkSW4ySClg5yDT1AD7sA94KTe8obUgxTlKVp6=w163-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipOsWYcXAEJtiHzAodsujWhnPWoSmsAakDqwu5DK=w408-h397-k-no
Sala Upload Barcelona,Sala de conciertos,Planta G · Poble Espanyol de Barcelona,"Av. de Francesc Ferrer i Guàrdia, 13, Sants-Montjuïc, 08038 Barcelona",NO_PHONE,Barcelona,NOT_FOUND,4.3,1160,Actuaciones de músicos independientes modernos y sesiones de DJs en una sala dentro del histórico museo Poble Espanyol.,NOT_FOUND,https://lh5.googleusercontent.com/p/AF1QipPolrdusUtQLEUfDSXJAlxldH-2BANZP5V54t0G=w163-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipO79oQFrsLXN8-GtzxDevIRIN5k4vZ1No5n5DZS=w408-h306-k-no
BASSHAUS,Discoteca,"Carrer del Plom, 1, Sants-Montjuïc, 08038 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.7,20,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",https://lh5.googleusercontent.com/p/AF1QipOEhMRoxMxUWMJStgm9mQt6YF-305xC21zrAJS8=w138-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipOTVkDLuKv4A9vHQsJ_bgzl0oUBwd4lNJ1ykfqz=w408-h272-k-no
Bar restaurante Bar-celona,Bar,"Carrer del Vallespir, 81, Sants-Montjuïc, 08014 Barcelona",gastrobarcelona.com,639363549,Barcelona,NOT_FOUND,4.2,281,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",https://lh5.googleusercontent.com/p/AF1QipNBdzvildOFICUkN02RijUKkP4Cl71Wzx0Fz6u1=w80-h106-k-no,https://lh5.googleusercontent.com/p/AF1QipPK5J6Negr0Jjurq2yzHEGGX__fpNXDwie46Lq3=w426-h240-k-no
